id,image
dorian-williams,"https://www.maddenratings.com/wp-content/uploads/dorian-williams-23015-madden-photo.png"
davison-igbinosun,"https://www.maddenratings.com/wp-content/uploads/davison-igbinosun-16184.png"
damar-hamlin,"https://www.maddenratings.com/wp-content/uploads/damar-hamlin-21663-madden-photo.png"
mecole-hardman,"https://www.maddenratings.com/wp-content/uploads/mecole-hardman-20508-madden-photo.png"
tommy-doman-jr,"https://www.maddenratings.com/wp-content/uploads/tommy-doman-jr-16177.png"
deone-walker,"https://www.maddenratings.com/wp-content/uploads/deone-walker-15242-madden-photo.png"
skyler-bell,"https://www.maddenratings.com/wp-content/uploads/skyler-bell-1853.png"
trent-sherfield,"https://www.maddenratings.com/wp-content/uploads/trent-sherfield-sr-13759-madden-photo.png"
kaleb-elarms-orr,"https://www.maddenratings.com/wp-content/uploads/kaleb-elarms-orr-16262.png"
dorian-strong,"https://www.maddenratings.com/wp-content/uploads/dorian-strong-15295-madden-photo.png"
tj-sanders,"https://www.maddenratings.com/wp-content/uploads/tj-sanders-15241-madden-photo.png"
dewayne-carter,"https://www.maddenratings.com/wp-content/uploads/dewayne-carter-14867-madden-photo.png"
jordan-hancock,"https://www.maddenratings.com/wp-content/uploads/jordan-hancock-15316-madden-photo.png"
javon-solomon,"https://www.maddenratings.com/wp-content/uploads/javon-solomon-14896-madden-photo.png"
reid-ferguson,"https://www.maddenratings.com/wp-content/uploads/reid-ferguson-13039-madden-photo.png"
joe-andreessen,"https://www.maddenratings.com/wp-content/uploads/joe-andreessen-4366349-madden-photo.png"
jude-bowry,"https://www.maddenratings.com/wp-content/uploads/jude-bowry-16251.png"
phidarian-mathis,"https://www.maddenratings.com/wp-content/uploads/phidarian-mathis-22167-madden-photo.png"
sam-franklin,"https://www.maddenratings.com/wp-content/uploads/sam-franklin-jr-21401-madden-photo.png"
jackson-hawes,"https://www.maddenratings.com/wp-content/uploads/jackson-hawes-15104-madden-photo.png"
tyrell-shavers,"https://www.maddenratings.com/wp-content/uploads/tyrell-shavers-4241476-madden-photo.png"
zane-durant,"https://www.maddenratings.com/wp-content/uploads/zane-durant-16219.png"
ben-vansumeren,"https://www.maddenratings.com/wp-content/uploads/ben-vansumeren-4372070-madden-photo.png"
toriano-pride-jr,"https://www.maddenratings.com/wp-content/uploads/toriano-pride-jr-1872.png"
armaj-reed-adams,"https://www.maddenratings.com/wp-content/uploads/armaj-reed-adams-1851.png"
alec-anderson,"https://www.maddenratings.com/wp-content/uploads/alec-anderson-22436-madden-photo.png"
sedrick-van-pran-granger,"https://www.maddenratings.com/wp-content/uploads/sedrick-van-pran-granger-14710-madden-photo.png"
jalon-kilgore,"https://www.maddenratings.com/wp-content/uploads/jalon-kilgore-16403.png"
tommy-akingbesote,"https://www.maddenratings.com/wp-content/uploads/tommy-akingbesote-15233-madden-photo.png"
chase-lundt,"https://www.maddenratings.com/wp-content/uploads/chase-lundt-15142-madden-photo.png"
deven-thompkins,"https://www.maddenratings.com/wp-content/uploads/deven-thompkins.png"
jimmy-ciarlo,"https://www.maddenratings.com/wp-content/uploads/jimmy-ciarlo-4689804-madden-photo.png"
shane-zylstra,"https://www.maddenratings.com/wp-content/uploads/shane-zylstra-22633-madden-photo.png"
zion-logue,"https://www.maddenratings.com/wp-content/uploads/zion-logue-14889-madden-photo.png"
tylan-grable,"https://www.maddenratings.com/wp-content/uploads/tylan-grable-1119-madden-photo.png"
demetrius-flannigan-fowles,"https://www.maddenratings.com/wp-content/uploads/demetrius-flannigan-fowles-21403-madden-photo.png"
